,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,e_Time_Orderd,e_Time_Order_picked,weekday,weekend,holiday,Time_taken (min)
3818,21.170096,72.789122,21.260096,72.879122,2022-02-03,21:20,21:30,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,1900-01-01 21:20:00,1900-01-01 21:30:00,3,0,0,31
31559,26.891191,75.802083,26.901191,75.812083,2022-03-28,11:55,12:10,Sandstorms,High,2,Meal,motorcycle,0.0,No,Metropolitian,1900-01-01 11:55:00,1900-01-01 12:10:00,0,0,0,26
36502,11.021278,76.995017,11.131278,77.105017,2022-03-18,23:35,23:50,Cloudy,Low,1,Buffet,scooter,0.0,No,Metropolitian,1900-01-01 23:35:00,1900-01-01 23:50:00,4,0,1,26
6336,12.299524,76.64262,12.339524,76.68262,2022-03-17,14:45,14:50,Cloudy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 14:45:00,1900-01-01 14:50:00,3,0,0,31
19749,19.207222,72.972281,19.257222,73.022281,2022-01-03,22:55,23:10,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Urban,1900-01-01 22:55:00,1900-01-01 23:10:00,0,0,0,18
34762,23.359194,85.325447,23.409194,85.375447,2022-05-04,21:15,21:20,Fog,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,1900-01-01 21:15:00,1900-01-01 21:20:00,2,0,0,36
9653,17.451976,78.385883,17.581976,78.515883,2022-03-31,17:50,18:00,Windy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 17:50:00,1900-01-01 18:00:00,3,0,0,27
40032,23.353783,85.326967,23.443783,85.416967,2022-10-03,17:20,17:25,Cloudy,Medium,0,Snack,motorcycle,2.0,Yes,Metropolitian,1900-01-01 17:20:00,1900-01-01 17:25:00,0,0,0,41
31758,18.994237,72.825553,19.034237,72.865553,2022-11-03,14:30,14:35,Windy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,1900-01-01 14:30:00,1900-01-01 14:35:00,3,0,0,15
21867,23.357804,85.325146,23.387804,85.355146,2022-09-03,17:20,17:30,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Urban,1900-01-01 17:20:00,1900-01-01 17:30:00,5,1,0,30
