,Unnamed: 0,multiple_deliveries,e_Time_Orderd,e_Time_Order_picked,weekday,weekend,holiday,Time_taken (min),distance,Weather conditions_Cloudy,Weather conditions_Fog,Weather conditions_Sandstorms,Weather conditions_Stormy,Weather conditions_Sunny,Weather conditions_Windy,Road_traffic_density_High,Road_traffic_density_Jam,Road_traffic_density_Low,Road_traffic_density_Medium,Vehicle_condition,Type_of_order_Buffet,Type_of_order_Drinks,Type_of_order_Meal,Type_of_order_Snack,Type_of_vehicle_electric_scooter,Type_of_vehicle_motorcycle,Type_of_vehicle_scooter,Festival,City_Metropolitian,City_Semi-Urban,City_Urban
0,2,1.0,1900-01-01 20:10:00,1900-01-01 20:25:00,2,0,0,19,20.7,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0
1,3,1.0,1900-01-01 19:25:00,1900-01-01 19:35:00,4,0,1,31,25.4,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0
2,4,1.0,1900-01-01 12:10:00,1900-01-01 12:20:00,5,1,0,15,11.1,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0
3,5,0.0,1900-01-01 22:20:00,1900-01-01 22:25:00,6,1,0,38,17.2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0
4,6,0.0,1900-01-01 22:20:00,1900-01-01 22:25:00,0,0,0,18,14.3,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1,0,1,0,0
5,9,0.0,1900-01-01 21:40:00,1900-01-01 21:55:00,5,1,0,23,15.6,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
6,10,1.0,1900-01-01 09:40:00,1900-01-01 09:55:00,6,1,0,15,4.8,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1
7,11,1.0,1900-01-01 17:45:00,1900-01-01 18:00:00,3,0,0,26,11.2,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0
8,12,0.0,1900-01-01 22:40:00,1900-01-01 22:50:00,5,1,0,10,6.3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,1
9,13,2.0,1900-01-01 19:20:00,1900-01-01 19:35:00,2,0,0,37,17.4,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0
10,14,1.0,1900-01-01 20:20:00,1900-01-01 20:25:00,4,0,0,52,37.3,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0
11,15,1.0,1900-01-01 16:25:00,1900-01-01 16:40:00,1,0,0,26,10.3,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,0
12,16,2.0,1900-01-01 19:50:00,1900-01-01 19:55:00,6,1,0,40,15.3,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0
13,17,0.0,1900-01-01 18:35:00,1900-01-01 18:40:00,3,0,0,13,14.0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,0
14,20,1.0,1900-01-01 22:00:00,1900-01-01 22:15:00,3,0,0,30,12.4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
15,21,0.0,1900-01-01 08:50:00,1900-01-01 09:00:00,2,0,0,17,4.1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,1,0,0
16,22,1.0,1900-01-01 20:55:00,1900-01-01 21:00:00,1,0,0,28,15.4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
17,25,1.0,1900-01-01 18:35:00,1900-01-01 18:40:00,2,0,0,18,13.9,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,1
18,26,1.0,1900-01-01 20:30:00,1900-01-01 20:35:00,2,0,0,42,18.3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
19,30,0.0,1900-01-01 09:25:00,1900-01-01 09:30:00,1,0,0,17,2.1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
20,31,1.0,1900-01-01 09:20:00,1900-01-01 09:35:00,1,0,0,23,2.2,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0
21,32,1.0,1900-01-01 20:45:00,1900-01-01 20:50:00,2,0,0,50,26.9,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,1,0,0,1,0,0
22,33,1.0,1900-01-01 19:50:00,1900-01-01 19:55:00,6,1,0,24,7.1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
23,37,1.0,1900-01-01 18:45:00,1900-01-01 18:50:00,6,1,0,28,5.9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
24,39,1.0,1900-01-01 18:35:00,1900-01-01 18:45:00,3,0,0,23,9.6,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,0
25,40,1.0,1900-01-01 18:35:00,1900-01-01 18:45:00,0,0,0,15,12.7,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1
26,43,1.0,1900-01-01 23:55:00,1900-01-01 00:00:00,4,0,0,27,20.0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,1,0,0
27,44,1.0,1900-01-01 18:10:00,1900-01-01 18:25:00,2,0,0,26,21.4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
28,46,0.0,1900-01-01 18:20:00,1900-01-01 18:35:00,4,0,0,12,21.4,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,1
29,48,1.0,1900-01-01 20:55:00,1900-01-01 21:05:00,5,1,0,35,7.0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0
30,49,1.0,1900-01-01 18:30:00,1900-01-01 18:45:00,0,0,0,26,19.2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
31,51,0.0,1900-01-01 23:55:00,1900-01-01 00:10:00,6,1,0,12,17.5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
32,52,1.0,1900-01-01 17:55:00,1900-01-01 18:00:00,2,0,0,25,14.4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
33,53,0.0,1900-01-01 20:25:00,1900-01-01 20:40:00,6,1,0,29,9.9,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
34,54,1.0,1900-01-01 18:25:00,1900-01-01 18:40:00,2,0,0,33,19.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
35,55,1.0,1900-01-01 19:25:00,1900-01-01 19:30:00,6,1,0,22,7.0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
36,56,1.0,1900-01-01 08:20:00,1900-01-01 08:25:00,5,1,0,24,3.0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0
37,57,0.0,1900-01-01 21:15:00,1900-01-01 21:30:00,6,1,0,44,14.6,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
38,58,1.0,1900-01-01 18:55:00,1900-01-01 19:05:00,3,0,0,34,12.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
39,59,1.0,1900-01-01 12:35:00,1900-01-01 12:45:00,2,0,0,29,9.4,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
