,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,multiple_deliveries,e_Time_Orderd,e_Time_Order_picked,weekday,weekend,holiday,Time_taken (min),distance,Weather conditions_Cloudy,Weather conditions_Fog,Weather conditions_Sandstorms,Weather conditions_Stormy,Weather conditions_Sunny,Weather conditions_Windy,Road_traffic_density_High,Road_traffic_density_Jam,Road_traffic_density_Low,Road_traffic_density_Medium,Vehicle_condition,Type_of_order_Buffet,Type_of_order_Drinks,Type_of_order_Meal,Type_of_order_Snack,Type_of_vehicle_electric_scooter,Type_of_vehicle_motorcycle,Type_of_vehicle_scooter,Festival,City_Metropolitian,City_Semi-Urban,City_Urban,hour,time_hour,no식사,식사
0,0,0,2,1.0,1900-01-01 20:10:00,1900-01-01 20:25:00,2,0,0,19,20.7,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,20,식사,0,1
1,1,1,3,1.0,1900-01-01 19:25:00,1900-01-01 19:35:00,4,0,1,31,25.4,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,19,식사,0,1
2,2,2,4,1.0,1900-01-01 12:10:00,1900-01-01 12:20:00,5,1,0,15,11.1,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,12,식사,0,1
3,6,6,10,1.0,1900-01-01 09:40:00,1900-01-01 09:55:00,6,1,0,15,4.8,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,9,no식사,1,0
4,7,7,11,1.0,1900-01-01 17:45:00,1900-01-01 18:00:00,3,0,0,26,11.2,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,17,식사,0,1
5,9,9,13,2.0,1900-01-01 19:20:00,1900-01-01 19:35:00,2,0,0,37,17.4,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0,19,식사,0,1
6,10,10,14,1.0,1900-01-01 20:20:00,1900-01-01 20:25:00,4,0,0,52,37.3,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,20,식사,0,1
7,11,11,15,1.0,1900-01-01 16:25:00,1900-01-01 16:40:00,1,0,0,26,10.3,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,0,16,no식사,1,0
8,12,12,16,2.0,1900-01-01 19:50:00,1900-01-01 19:55:00,6,1,0,40,15.3,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0,19,식사,0,1
9,14,14,20,1.0,1900-01-01 22:00:00,1900-01-01 22:15:00,3,0,0,30,12.4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,22,no식사,1,0
10,16,16,22,1.0,1900-01-01 20:55:00,1900-01-01 21:00:00,1,0,0,28,15.4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,20,식사,0,1
11,17,17,25,1.0,1900-01-01 18:35:00,1900-01-01 18:40:00,2,0,0,18,13.9,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,1,18,식사,0,1
12,18,18,26,1.0,1900-01-01 20:30:00,1900-01-01 20:35:00,2,0,0,42,18.3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,20,식사,0,1
13,20,20,31,1.0,1900-01-01 09:20:00,1900-01-01 09:35:00,1,0,0,23,2.2,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,9,no식사,1,0
14,21,21,32,1.0,1900-01-01 20:45:00,1900-01-01 20:50:00,2,0,0,50,26.9,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,1,0,0,1,0,0,20,식사,0,1
15,22,22,33,1.0,1900-01-01 19:50:00,1900-01-01 19:55:00,6,1,0,24,7.1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,19,식사,0,1
16,23,23,37,1.0,1900-01-01 18:45:00,1900-01-01 18:50:00,6,1,0,28,5.9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,18,식사,0,1
17,24,24,39,1.0,1900-01-01 18:35:00,1900-01-01 18:45:00,3,0,0,23,9.6,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,0,18,식사,0,1
18,25,25,40,1.0,1900-01-01 18:35:00,1900-01-01 18:45:00,0,0,0,15,12.7,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,18,식사,0,1
19,26,26,43,1.0,1900-01-01 23:55:00,1900-01-01 00:00:00,4,0,0,27,20.0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,1,0,0,23,no식사,1,0
20,27,27,44,1.0,1900-01-01 18:10:00,1900-01-01 18:25:00,2,0,0,26,21.4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,18,식사,0,1
21,29,29,48,1.0,1900-01-01 20:55:00,1900-01-01 21:05:00,5,1,0,35,7.0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,20,식사,0,1
22,30,30,49,1.0,1900-01-01 18:30:00,1900-01-01 18:45:00,0,0,0,26,19.2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,18,식사,0,1
23,32,32,52,1.0,1900-01-01 17:55:00,1900-01-01 18:00:00,2,0,0,25,14.4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,17,식사,0,1
24,34,34,54,1.0,1900-01-01 18:25:00,1900-01-01 18:40:00,2,0,0,33,19.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,18,식사,0,1
25,35,35,55,1.0,1900-01-01 19:25:00,1900-01-01 19:30:00,6,1,0,22,7.0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,19,식사,0,1
26,36,36,56,1.0,1900-01-01 08:20:00,1900-01-01 08:25:00,5,1,0,24,3.0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,8,no식사,1,0
27,38,38,58,1.0,1900-01-01 18:55:00,1900-01-01 19:05:00,3,0,0,34,12.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,18,식사,0,1
28,39,39,59,1.0,1900-01-01 12:35:00,1900-01-01 12:45:00,2,0,0,29,9.4,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,12,식사,0,1
29,40,40,60,1.0,1900-01-01 09:35:00,1900-01-01 09:45:00,5,1,0,26,6.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,9,no식사,1,0
30,41,41,61,1.0,1900-01-01 19:45:00,1900-01-01 19:55:00,1,0,0,27,23.4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,19,식사,0,1
31,42,42,62,1.0,1900-01-01 18:45:00,1900-01-01 19:00:00,1,0,0,16,9.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,18,식사,0,1
32,43,43,63,1.0,1900-01-01 11:35:00,1900-01-01 11:45:00,5,1,0,27,4.7,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,11,식사,0,1
33,47,47,68,1.0,1900-01-01 22:25:00,1900-01-01 22:35:00,5,1,0,24,6.7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,22,no식사,1,0
34,50,50,73,1.0,1900-01-01 16:15:00,1900-01-01 16:30:00,1,0,0,27,8.5,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,16,no식사,1,0
35,51,51,74,1.0,1900-01-01 22:15:00,1900-01-01 22:30:00,4,0,0,29,14.3,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,1,0,0,22,no식사,1,0
36,52,52,76,1.0,1900-01-01 20:55:00,1900-01-01 21:05:00,3,0,0,31,20.7,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0,20,식사,0,1
37,55,55,81,1.0,1900-01-01 09:10:00,1900-01-01 09:25:00,1,0,0,16,4.1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,9,no식사,1,0
38,58,58,85,1.0,1900-01-01 16:55:00,1900-01-01 17:10:00,4,0,0,31,8.4,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,16,no식사,1,0
39,60,60,87,1.0,1900-01-01 21:40:00,1900-01-01 21:45:00,0,0,0,26,17.9,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0,21,식사,0,1
40,64,64,92,1.0,1900-01-01 11:25:00,1900-01-01 11:30:00,1,0,0,38,3.4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,11,식사,0,1
41,65,65,93,1.0,1900-01-01 15:15:00,1900-01-01 15:20:00,0,0,0,25,17.1,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,15,no식사,1,0
42,67,67,95,1.0,1900-01-01 09:50:00,1900-01-01 10:05:00,2,0,0,21,4.7,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,9,no식사,1,0
43,69,69,98,1.0,1900-01-01 18:20:00,1900-01-01 18:35:00,5,1,0,30,11.3,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,18,식사,0,1
44,70,70,99,1.0,1900-01-01 10:00:00,1900-01-01 10:15:00,2,0,0,14,6.1,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,1,0,0,10,no식사,1,0
45,71,71,101,1.0,1900-01-01 18:30:00,1900-01-01 18:45:00,6,1,0,37,48.0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,18,식사,0,1
46,72,72,104,1.0,1900-01-01 18:35:00,1900-01-01 18:50:00,5,1,0,19,10.2,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,18,식사,0,1
47,73,73,105,2.0,1900-01-01 20:40:00,1900-01-01 20:50:00,5,1,0,48,8.4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,20,식사,0,1
48,76,76,110,1.0,1900-01-01 18:15:00,1900-01-01 18:30:00,0,0,0,25,17.1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,18,식사,0,1
49,77,77,111,1.0,1900-01-01 19:50:00,1900-01-01 20:05:00,3,0,0,21,18.2,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,1,0,0,19,식사,0,1
50,78,78,112,1.0,1900-01-01 17:20:00,1900-01-01 17:25:00,4,0,0,35,14.5,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,17,식사,0,1
51,80,80,117,1.0,1900-01-01 18:55:00,1900-01-01 19:05:00,3,0,0,24,5.6,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,18,식사,0,1
52,81,81,119,1.0,1900-01-01 20:55:00,1900-01-01 21:05:00,4,0,0,14,13.7,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,1,0,1,0,0,20,식사,0,1
53,83,83,121,1.0,1900-01-01 09:45:00,1900-01-01 09:50:00,1,0,0,19,3.6,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,9,no식사,1,0
54,85,85,124,1.0,1900-01-01 18:40:00,1900-01-01 18:50:00,4,0,0,30,43.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,18,식사,0,1
55,86,86,125,1.0,1900-01-01 19:55:00,1900-01-01 20:10:00,4,0,0,31,23.2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,19,식사,0,1
56,87,87,127,1.0,1900-01-01 20:20:00,1900-01-01 20:30:00,5,1,0,25,19.7,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,20,식사,0,1
57,88,88,129,1.0,1900-01-01 17:35:00,1900-01-01 17:50:00,3,0,0,24,8.4,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,17,식사,0,1
58,89,89,130,1.0,1900-01-01 23:15:00,1900-01-01 23:25:00,3,0,0,28,11.9,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,23,no식사,1,0
59,90,90,131,1.0,1900-01-01 09:40:00,1900-01-01 09:45:00,1,0,0,19,5.1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,9,no식사,1,0
60,91,91,132,1.0,1900-01-01 13:35:00,1900-01-01 13:50:00,6,1,0,21,9.0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,13,식사,0,1
61,92,92,133,1.0,1900-01-01 18:35:00,1900-01-01 18:50:00,2,0,0,17,9.4,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,18,식사,0,1
62,93,93,134,2.0,1900-01-01 22:20:00,1900-01-01 22:30:00,4,0,0,39,26.3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,22,no식사,1,0
63,95,95,136,1.0,1900-01-01 19:35:00,1900-01-01 19:45:00,2,0,0,26,18.8,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,19,식사,0,1
64,97,97,139,1.0,1900-01-01 00:00:00,1900-01-01 00:05:00,3,0,0,22,12.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,no식사,1,0
65,99,99,143,1.0,1900-01-01 15:35:00,1900-01-01 15:50:00,1,0,0,15,8.5,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,1,15,no식사,1,0
66,102,102,146,1.0,1900-01-01 11:40:00,1900-01-01 11:55:00,2,0,0,32,5.1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,11,식사,0,1
67,103,103,147,1.0,1900-01-01 00:00:00,1900-01-01 00:05:00,6,1,0,16,24.3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,no식사,1,0
68,106,106,150,1.0,1900-01-01 18:35:00,1900-01-01 18:45:00,5,1,0,31,18.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,18,식사,0,1
